step,elapsed_s,num_episodes,avg_game_len,white_win_rate,draw_rate,black_win_rate,loss_total,loss_policy,loss_value,loss_reward,loss_consistency,loss_entropy
1,99.5,64,334.4,0.6,0.4,0.0,48.74626,20.19593,19.75673,23.3814,0.09676,7.24634
2,138.0,65,336.6666666666667,0.5,0.5,0.0,4718006272.0,4718006016.0,4.68252,0.02543,-0.43285,2.23582
3,176.4,66,335.7142857142857,0.42857142857142855,0.5714285714285714,0.0,4732390400.0,4732390080.0,0.00201,0.03152,-2.30559,0.53608
4,216.9,67,343.375,0.375,0.625,0.0,4806887424.0,4806887360.0,0.00671,0.05976,-3.1056,0.69607
5,260.2,68,355.6666666666667,0.3333333333333333,0.6666666666666666,0.0,4745238016.0,4745237952.0,27.16791,144.88397,-3.36998,0.18596
6,301.7,69,360.2,0.3,0.7,0.0,4718708736.0,4718708672.0,0.02119,0.44439,-3.75997,0.1547
7,343.1,70,363.72727272727275,0.2727272727272727,0.7272727272727273,0.0,4765456896.0,4765456512.0,0.03077,1.6636,-3.72432,0.00148
8,366.5,71,334.5833333333333,0.25,0.6666666666666666,0.08333333333333333,4699595776.0,4699595392.0,0.0364,4.44375,-3.60063,0.00588
9,409.3,72,342.0769230769231,0.23076923076923078,0.6923076923076923,0.07692307692307693,4588100096.0,4588096704.0,12.94562,3277.27397,-3.92494,0.00052
10,456.1,73,353.7857142857143,0.21428571428571427,0.7142857142857143,0.07142857142857142,4493252096.0,4493252224.0,0.04231,34.7106,-3.84003,0.0
11,494.9,74,350.2,0.2,0.7333333333333333,0.06666666666666667,4396289024.0,4396288960.0,0.03937,68.68051,-3.82694,0.0
12,532.5,75,347.0,0.1875,0.75,0.0625,2026765824.0,2026765648.0,0.03938,143.38689,-3.90717,0.0
13,564.1,76,338.05882352941177,0.17647058823529413,0.7647058823529411,0.058823529411764705,54584172544.0,54584035840.0,12.82394,135698.83159,-3.94039,0.0
14,608.9,77,344.94444444444446,0.16666666666666666,0.7777777777777778,0.05555555555555555,43433508864.0,43239146496.0,18.21406,194362928.0,-3.93479,0.0
15,651.7,78,348.63157894736844,0.15789473684210525,0.7894736842105263,0.05263157894736842,165837078528.0,165835555840.0,0.01833,1516425.1875,-3.9721,0.0
16,696.7,79,354.95,0.15,0.8,0.05,85531197440.0,85528353152.0,49.35623,2843390.25,-3.97073,0.0
17,735.7,80,353.6666666666667,0.14285714285714285,0.8095238095238095,0.047619047619047616,234734190592.0,234729000960.0,0.00347,5173956.625,-3.96996,0.0
18,778.4,81,356.1363636363636,0.13636363636363635,0.8181818181818182,0.045454545454545456,68111982592.0,68104885248.0,0.00281,7100412.625,-3.97609,0.0
19,817.0,82,352.60869565217394,0.13043478260869565,0.8260869565217391,0.043478260869565216,34742378496.0,34733186432.0,0.00242,9193800.75,-3.97601,0.0
20,842.5,83,340.6666666666667,0.125,0.7916666666666666,0.08333333333333333,50868604928.0,50855311040.0,0.00311,13294291.0,-3.97521,0.0
